Documento;Similaridade
Estamos (W.N CONTADORES ASSOCIADOS) prestando Consultoria Administrativa/ Financeira para TIROL CORRETORA DE SEGUROS e estamos a frente para comercialização de SEGURO GARANTIA para Contratos que Empresas venceram licitações públicas no âmbito de um contrato ou, ainda, em função de processos judiciais bem como para empresas que necessitam assegurar contratos particulares, seja para fornecimento de materiais ou mão de obra, prestação de serviços ou construções. #segurogarantia, #licitações, #licitação. https://lnkd.in/dZGbsa7 https://licitacao.online/users/walter-orlando https://www.linkedin.com/in/walter-orlando-53242a43/;0.5390322
A 1ª Câmara Reservada de Direito Empresarial do Tribunal de Justiça de São Paulo manteve sentença que condenou companhia de empreendimentos imobiliários a indenizar investidor por quebra de contratos. A sociedade terá que devolver o montante de R$ 1,25 milhão investido, com a devida correção monetária, além de rescindir os contratos firmados entre as partes. Ver mais;0.5154388
"Ao comprar um imóvel na planta, nos deparamos com o famoso ""contrato de adesão"", ou seja, aquele contrato que os compradores não podem escolher nenhuma das cláusulas e, mesmo não concordando, são obrigados a aceitar caso queiram o imóvel. Ocorre que, geralmente nesses contratos, existem várias cláusulas abusivas e uma delas, talvez a mais discutida, seja a multa para os casos de rescisão do contrato. Geralmente a construtora estabelece a devolução de 50%, 40% ou até 20% das parcelas pagas. Entretanto, tal cláusula não merece reconhecimento pois já está pacificado nos tribunais que as construtoras podem reter até no máximo 25% do valor total pago pelos compradores. Os compradores poderão reaver de 75% a 90% do que já pagou, corrigidos monetariamente. Aqui no Estado de São Paulo, tem entendido que a devolução sera de 90%, mas isso será verificado caso a caso. Sendo assim, caso você se encontre nessa situação, não se sinta vinculado à multa estipulada em contrato. Procure um advogado e faça valer seus direitos o quanto antes. Aline Feltrin - advogada";0.5122094
"Quanto às operações que envolvam créditos ou financiamentos, muitos tipos de encargos são possíveis de previsão contratual, sendo os mais comuns os juros remuneratórios, os juros de mora, a multa de mora, a multa penal, a correção monetária, a comissão de permanência e o IOF. OS JUROS REMUNERATÓRIOS, ou compensatórios, são aqueles cobrados pelos bancos para remunerar o capital emprestado ou disponibilizado ao cliente. São, em outras palavras, a fonte de lucro dos bancos pelas atividades de intermediação de empréstimos. Tais juros são os responsáveis pela grande maioria das discussões judiciais sobre débitos bancários. Atualmente, essas discussões já não têm tido muito êxito aos tomadores de empréstimos bancários, vez que nossos tribunais, principalmente o STJ e o STF, têm decidido pela impossibilidade de rever as taxas de juros remuneratórios então livremente pactuadas pelas partes, permitindo, contudo, a alteração desses juros somente se excessivos, conforme as circunstâncias de cada caso, tendo como parâmetro a estabilidade econômica do país durante a vigência do contrato. Assim, os juros remuneratórios bancários não encontram, a princípio, limite na legislação civil, ficando pacificado no STF que a Lei de Usura (Decreto-Lei nº 22.626/33) não se aplica às atividades financeiras (Súmula 596 - STF), também não havendo previsão, na Constituição Federal, sobre limitação desses juros bancários. Por juros excessivos pode-se entender aqueles que estão bem acima da taxa média cobrada pelos bancos na espécie de contrato analisado. O fato é que cada espécie de contrato bancário tem taxa de juros fixada conforme o risco de inadimplência oferecida pelo devedor, bem como pela origem do dinheiro emprestado e pela sua finalidade. Portanto, se o devedor apresentar melhor garantia de pagamento, isso diminuirá seu risco de inadimplência e, por conseqüência, também a taxa dos juros. Conforme a fonte de captação do dinheiro a ser emprestado, como por exemplo, no país ou no exterior, poderá haver variação da taxa, o que também se dá se o empréstimo tiver destinação vinculada a algum benefício, tal como ocorre nos empréstimos para fomento das atividades agrícola, industrial e comercial. As informações sobre a taxa de juros, cobrada pelos bancos, podem ser obtidas no Banco Central do Brasil. OS JUROS DE MORA são aqueles devidos mensalmente em razão do atraso de algum pagamento. Ao contrário dos juros remuneratórios, que visam remunerar o capital, os juros de mora são encargos a serem acrescidos ao valor do pagamento em atraso. Em nossa legislação, ambos os juros são cumuláveis, ou seja, diante do pagamento em atraso, o banco pode cobrar os juros compensatórios e os de mora. As taxas desses juros, o de mora, também podem ser livremente estabelecidas pelas partes em seus contratos bancários, e, caso não sejam previamente estipuladas, deve-se seguir o limite fixado no Código Civil, mais precisamente na regra do artigo 406, a qual prevê seja adotada a taxa utilizada pela Fazenda Nacional diante de mora no pagamento de tributos (atualmente a Fazenda Nacional utiliza-se da SELIC – Sistema Especial de Liquidação e de Custódia). A MULTA DE MORA é outro encargo normalmente previsto nos contratos bancários, consistente em penalidade pelo atraso de alguma prestação de pagamento, sendo limitada em lei a 2% do valor da prestação não quitada no devido tempo (art. 52, § 1º, CDC). A multa de mora também não se confunde com os juros compensatórios, nem com os juros de mora, pois sua finalidade é a de punir o inadimplente que não cumpriu sua obrigação no prazo e modo devidos. Então, diante da inadimplência, pode o banco cobrar, cumulativamente, todos esses três encargos. A CORREÇÃO MONETÁRIA há de ser entendida não como acréscimo da dívida, mas como recomposição do valor em razão das perdas ocasionadas pela infração. Sua previsão e aplicação contratual devem seguir os índices oficiais. Muitas vezes, os bancos utilizam-se da comissão de permanência, que é uma taxa que engloba juros compensatórios e correção monetária, a qual, se prevista no contrato, não pode ser cobrada juntamente com outro índice de correção monetária, por configurar-se cobrança cumulativa ou duplicidade de atualização da moeda, o que é indevido. Nosso ordenamento jurídico possibilita ao juiz que imponha aos contratos o seu reequilíbrio financeiro, desde que as condições originárias tenham sido alteradas por fatos imprevisíveis que tornaram as prestações excessivas ou diminutas. Assim, ao agasalho da Teoria da Imprevisão, sempre que a correção monetária se mostrar injusta ou desequilibrada, poderá a parte interessada pleitear, judicialmente, a resolução do contrato ou o seu reequilíbrio financeiro (ver regra do art. 51, § 4º, do CDC e arts. 317 e 478 a 480, do CC). Muitos são os índices de atualização da moeda existentes em nosso país, devendo tal variedade à forma de cálculo que cada um adota e ao respectivo período de referência. Portanto, segue lista dos índices de correção monetária mais utilizados atualmente: INPC (calculado pelo IBGE, mede a variação de preços entre os dias 1º e 30 de cada mês, de produtos consumidos por famílias com renda mensal entre 1 e 8 salários mínimos); IPCA (calculado pelo IBGE, mede a variação de preços entre os dias 1º e 30 de cada mês, de produtos consumidos por famílias com renda mensal entre 1 e 40 salários mínimos); IGP-DM (calculado pela Fundação Getúlio Vargas, mede a variação de preços entre os dias 21 de um mês ao dia 20 do mês seguinte, de produtos consumidos por famílias com renda mensal entre 1 e 33 salários mínimos); FIPE (calculado pela FIPE, mede a variação de preços entre os dias 1º e 30 de cada mês, de produtos consumidos por famílias com renda mensal entre 1 e 30 salários mínimos); DIEESE (calculado pelo DIEESE, mede a variação de preços entre os dias 1º e 30 de cada mês, de produtos consumidos por famílias com renda mensal entre 1 e 30 salários mínimos); UFIR (Unidade Fiscal de Referência, muito utilizada pelo governo para atualização de taxas); CUB (Custo Unitário Básico, utilizado para medir os reajustes nos contratos da construção civil); SELIC (Sistema Especial de Liquidação e de Custódia, mede a taxa de juros anuais e é utilizado pela Fazenda Federal e algumas Fazendas Estaduais para correção de valores tributários, servindo também como parâmetro aos juros de mora e compensatórios nos diversos contratos que não estabeleçam essas taxas); TJLP (Taxa de Juros de Longo Prazo); Caderneta de Poupança (corrige os valores depositados em contas de caderneta de poupança). Em razão da publicação da lei nº 9.069/95 (que instituiu o Plano Real) tornou-se possível às operações de que cuidam o Decreto-Lei nº 857/69 (sobre os contratos de importação e exportação) e o art. 6º da lei nº 8.880/94 (nos contratos autorizados por lei federal e nos de arrendamento mercantil celebrados entre pessoas residentes e domiciliadas no País, com base em captação de recursos provenientes do exterior) não precisarem ser corrigidas pelo IPCr, podendo sê-lo por moeda estrangeira. Conforme disposto na Lei nº 9.069/95, que instituiu o Plano Real, a correção monetária dos débitos contratuais há de ser aplicada em períodos anuais, salvo quanto aos contratos do mercado financeiro e do Sistema Financeiro de Habitação - SFH, aos contratos com instituições financeiras e demais entidades autorizadas a funcionar pelo Banco Central do Brasil, bem assim no Sistema Brasileiro de Poupança e Empréstimo - SBPE e aos dos financiamentos habitacionais de entidades de previdência privada do sistema financeiro. A lei nº 6.205/75 veda a estipulação do salário mínimo como referência para atualização de dívidas. A COMISSÃO DE PERMANÊNCIA é uma taxa utilizada para remunerar os empréstimos bancários não quitados no vencimento. Além de remunerar o capital, compõem-se ainda de parcela destinada à correção monetária. Logo, a dívida não pode ser cobrada com a incidência da comissão de permanência e de um índice de atualização da moeda (Súmula 30, do STJ). Mas, se o banco provar que a comissão de permanência é equivalente a somente juros, não havendo parcela de correção monetária nela embutida, então esta também será devida. A MULTA PENAL é outro tipo de encargo evidenciado nos contratos bancários, sendo admitida em razão de quebra de contrato, quando uma das partes, por não cumprir sua obrigação, dá motivo à respectiva rescisão. Essa penalidade serve para indenizar a parte que não deu causa à rescisão pelos prejuízos sofridos com o rompimento contratual. O limite dessa multa é o valor do contrato, mas podendo ser reduzido pelo juiz se a obrigação principal tiver sido cumprida em parte ou revisto sempre que se mostrar excessivo, considerando a natureza e a finalidade do negócio (art. 413, CC). Tal multa servirá de substituição às perdas e danos se estes não estiverem previstos no texto contratual. O IOF é um tributo recolhido ao governo federal, em razão de todo tipo de operação de financiamento ou empréstimo de dinheiro, troca de moedas e contratação de seguros, promovida pelos bancos ou outras instituições financeiras. Significa Imposto Sobre Operações de Crédito, Câmbio e Seguros, o qual é devido ao Governo Federal, sendo o banco mero agente recolhedor desse tributo. O IOF tem alíquotas variadas conforme a operação de seu fato-gerador, pagas pelo contratante da operação ou tomador do empréstimo e cujo banco ou instituição financeira se encarrega de recolher aos cofres públicos. Daí que este imposto não se confunde com juros, multa ou qualquer encargo bancário, sendo tão somente uma imposição tributária. O que não foi previsto no contrato bancário não pode ser exigido em prejuízo do consumidor, admitindo-se, mesmo diante da omissão, apenas a cobrança da correção monetária, dos juros de mora e dos juros remuneratórios, embora pela taxa legalmente prevista, caso em que, em ambas as hipóteses de juros, utiliza-se da taxa SELIC para sanar a lacuna contratual, tendo os juros de mora fundamento na regra do art. 406 e os juros remuneratórios na regra do art. 591, todos do Código Civil, sendo este último o que trata dos empréstimos de dinheiro contratados fora do sistema financeiro.";0.5087669
"Com a edição da Medida Provisória 95, de 11 de novembro de 2019 pelo Governo Federal, foi instituído o contrato de trabalho “verde e amarelo”, promovendo alterações na legislação trabalhista e previdenciária. Trata-se de nova modalidade de contrato de trabalho temporário destinado a criação de novos postos de trabalho para as pessoas entre 18 e 29 anos de idade, para aqueles que nunca trabalharam de carteira assinada, ou seja, par ao primeiro emprego com a assinatura da CTPS. Não é aplicável a contratação de menor aprendiz, contrato de experiência, trabalho intermitente e trabalho avulso As contratações nesta modalidade deverão limitar-se a 20% do total dos empregados da empresa, tendo como base da folha de pagamentos do mês corrente de apuração. A Medida Provisória estabelece que o trabalhador contratado por outras formas de contrato de trabalho, uma vez dispensado, não poderá ser recontratado pelo mesmo empregador, na modalidade Contrato de Trabalho Verde e Amarelo, pelo prazo de cento e oitenta dias. O salário mensal fixado para estas contratações deverá ser de até um salário-mínimo e meio pelo prazo máximo de dois anos. São mantidos os mesmos direitos trabalhistas, com as seguintes alterações: o empregado receberá décimo terceiro proporcional, férias proporcionais com acréscimo de um terço no curso do contrato de trabalho; a alíquota mensal relativa ao FGTS será de 2%, podendo ser paga de forma antecipada; a multa do FGTS passará a ser de 20%, ainda, não haverá indenização por rescisão antecipada do contrato de trabalho (art. 479 da CLT). Esta modalidade de contratação trás benefícios tanto para os empregados quanto para os empregadores. Os empregados contratados na modalidade “verde a amarelo” receberão, prioritariamente, ações de qualificação profissional e terão maior oportunidade de conseguir o primeiro emprego, considerando o custo reduzido na contratação. Como receberão as verbas rescisórias antecipadas, isto aumentará os recebíveis mensais. Para o empregador, existem os benefícios de não pagamento da contribuição previdenciária patronal, salário educação e demais contribuições sociais destinadas ao sistema S; o empregado contratado poderá exercer qualquer tipo de atividade, transitória ou permanente, e para substituição transitória de pessoal permanente e, realizar o pagamento das verbas rescisórias de forma antecipada e proporcional, o que desonera a empresa no momento de realizar a rescisão.";0.5081133
"Dentro de uma empresa tudo consiste (ou deveria consistir) em relações regidas por contratos, dos mais diversos tipos e categorias. Mas você sabia que nem todo contrato para os empresários se enquadram na categoria de ""contratos empresariais""? Existem contratos que os empresários celebram com trabalhadores, consumidores, órgãos públicos, e existem os contratos que os empresários celebram entre si, estes sim considerados ""contratos empresariais"". CONTRATOS TRABALHISTAS - Regidos principalmente pela CLT CONTRATOS COM CONSUMIDORES - regidos principalmente pelo CDC e código civil CONTRATOS COM O ESTADO/GOVERNO - regidos principalmente pela lei de licitação e contratos públicos Os contratos empresariais diferem dos demais contratos por serem estabelecidos entre empresários. SÃO REGIDOS PRINCIPALMENTE POR REGRAS E PRINCÍPIOS DO DIREITO EMPRESARIAL E PELA LEI DA LIBERDADE ECONÔMICA. Exemplos: contratos de colaboração, de representação comercial, comissão mercantil, de distribuição, obrigações cambiárias, acordo de acionistas, de administração de empresas, dentre DIVERSAS OUTRAS POSSIBILIDADES. DICAS PARA O EMPRESÁRIO: Contrato é o coração de qualquer empresa; cada necessidade pede um enquadramento específico de contrato; cada espécie de contratos pede normativos e legislações específicas; nem todo contrato para empresários é um contrato do tipo empresarial (conforme mostramos acima); um contrato bem feito é a segurança jurídica do negócio e, por isso, tenha sempre um advogado empresarial de confiança para chamar de seu. Qual o contrato que você mais utiliza na sua empresa? Compartilha aqui com a gente. Publicado por: Débora Minuncio Nascimento https://deboramnascimento.com.br/ https://linktr.ee/advocaciadeboramn";0.5015694
"Esta modalidade de ação judicial tem por objetivo revisar as cláusulas constantes em um contrato realizado entre o consumidor e a Instituição Financeira, para fins de equilibrar a relação havida, evitando os abusos e limitando a taxa de juros remuneratório praticada, que muitas vezes pode ser considerada abusiva, além de limitar ou anular outras cláusulas consideradas abusivas nos termos do Código de Defesa do Consumidor. Principais abusos cometidos pelas instituições financeiras: 1. Cobrança de juros remuneratórios acima da média de mercado para operações de crédito da mesma espécie segundo divulgação do Banco Central: Os Tribunais Estaduais e o Superior Tribunal de Justiça têm entendido que os juros devem ser limitados a taxa média de mercado prevista para operações da mesma espécie feitas na mesma época (segundo tabela do Banco Central Ementa de julgamento de processo pelo Tribunal de Justiça do Rio Grande do Sul: Ementa: APELAÇÃO CÍVEL. CONTRATOS DE CARTÃO DE CRÉDITO. AÇÃO REVISIONAL. CONTRATOS BANCÁRIOS. PONTOS COMUNS. JUROS REMUNERATÓRIOS. Possibilidade da cobrança de juros remuneratórios superiores a 12% ao ano, quando não comprovada a abusividade. Súmula nº 382 do STJ. Contrato de Abertura de Conta Corrente nº 4984-0. Não comprovada a alegada abusividade. Permitida a cobrança dos juros remuneratórios pactuados. Contratos de Crédito Pessoal nº 2305039, nº 5798832, nº 7575401 e nº 8938120 e Contrato de Cheque Especial nº 2204244. Comprovada a abusividade. Possibilidade da limitação da cobrança de juros remuneratórios à taxa média do mercado prevista para as operações da espécie. Contratos de Cartão de Crédito nº 361166, nº 343452, nº 361167, nº 5480460017227616 e nº 4096016190049844. Ausência de comprovação da taxa pactuada. Possibilidade da limitação da cobrança de juros remuneratórios à taxa média do mercado, adotando-se como paradigma, na hipótese dos autos, a do cheque especial, já que o Banco Central não disponibilizava tabela específica com a taxa média de mercado dos juros dos contratos de cartão de crédito, à época do período revisado.CAPITALIZAÇÃO DE JUROS. A capitalização de juros, em qualquer periodicidade, nas operações realizadas por instituições financeiras, somente é admissível com cláusula contratual expressa. Contrato de Abertura de Conta Corrente nº 4984-0. Existência de cláusula expressa, nos termos do Resp nº 973827/RS. Taxa de juros anuais superior ao duodécuplo das mensais. Possibilidade de incidência da capitalização mensal dos juros. Contratos de Crédito Pessoal nº 2305039, nº 5798832, nº 7575401 e nº 8938120, Contratos de Cartão de Crédito nº 361166, nº 343452, nº 361167, nº 5480460017227616 e nº 4096016190049844 e Contrato de Cheque Especial nº 2204244. Ausência de cláusula expressa. Impossibilidade de incidência da capitalização de juros. COMISSÃO DE PERMANÊNCIA. Licitude da cobrança desde que pactuada e não cumulada com a correção monetária, juros remuneratórios, juros moratórios e multa. Súmulas nºs 294 e 296 do STJ. Ausência de cláusula expressa. Impossibilidade de cobrança. APELAÇÃO DA PARTE AUTORA. TARIFA DE CADASTRO, TAXA DE AVALIAÇÃO DE GARANTIA E DESPESAS DE REGISTRO/GRAVAME, BOLETO BANCÁRIO E DEMAIS TARIFAS. INOVAÇÃO RECURSAL. Tópico não conhecido. CORREÇÃO MONETÁRIA. Possibilidade de adoção do IGP-M. MORA. Diante do reconhecimento da abusividade dos encargos exigidos, resta descaracterizada a mora, até o recálculo do débito, exceto no Contrato de Abertura de Conta Corrente nº 4984-0, uma vez que não configurada abusividade a ensejar revisão substancial das suas cláusulas referentes ao período da normalidade. APELAÇÃO DA PARTE RÉ. REVISÃO JUDICIAL DOS CONTRATOS. Amparada em preceitos constitucionais e nas regras de direito comum, a revisão judicial dos contratos bancários é juridicamente possível. COMPENSAÇÃO E REPETIÇÃO DO INDÉBITO. Em a compensação e a repetição do indébito, de forma simples. PREQUESTIONAMENTO. Em que pese a exigência de prequestionamento para fins de interposição recursal às Cortes Superiores, o órgão julgador não é obrigado a apontar expressamente eventual violação quanto aos dispositivos legais indicados pelas partes. APELAÇÃO DA PARTE AUTORA CONHECIDA EM PARTE E, NA PARTE CONHECIDA, PARCIALMENTE PROVIDA. APELAÇÃO DA PARTE RÉ PARCIALMENTE PROVIDA. (Apelação Cível Nº 70063694038, Vigésima Quarta Câmara Cível, Tribunal de Justiça do RS, Relator: Altair de Lemos Junior, Julgado em 29/04/2015) Portanto, é evidente a abusividade quando, por exemplo, o cheque especial ou cartão de crédito cobra 17,90% de juros ao mês (ou mais) e em contra-partida a média cobrada por todas as instituições financeiras era de menos de 10% e é muito vantajoso ao consumidor entrar com a ação revisional para exigir seus direitos, pois sua dívida pode reduzir consideravelmente. 2. Cobrança de encargos moratórios (por atraso) acima do limitado por lei (1% de juros e multa de 2%, sendo os juros são cobrados mensalmente mas a multa só pode ser cobrada 1 única vez); Infelizmente, é comum de se ver a cobrança de juros moratórios acima de 1% ao mês e também da multa por atraso de 2% (que só pode ser cobrada uma vez). Nestes casos o consumidor tem o direito de exigir a revisão do contrato para que a instituição financeira devolva ou compense os valores cobrados indevidamente. 3. Cobrança de juros e encargos que não foram contratados ou acima dos que foram contratados. Também é uma prática comum estipular taxas de juros e demais encargos, mas quando se analisa o contrato, os extratos ou as faturas se verifica que os valores que são cobrados ou não foram contratados ou são superiores aos contratados. Por exemplo: O consumidor olha no documento (contrato, extrato ou fatura) que os juros a serem cobrados seriam de 5,7% ao mês, mas quando faz o cálculo dos juros efetivamente cobrados verifica que foram de 11%, ou então verifica que estão cobrando um ""título de capitalização"", um seguro ou outro valor por um serviço ou produto que o consumidor não contratou. Nestes casos, cabe ação revisional para pedir a limitação das cobranças a taxa que foi contratada (ou a taxa média de mercado - o que for mais vantajoso ao consumidor) e para exclusão das cobranças de produtos e serviços que não contratou com a devolução dos valores respectivos, devidamente atualizados. 4. Cobrança de comissão de permanência cumulada com outros encargos de atraso É permitida a cobrança de comissão de permanência, desde que não cumulada com encargos de atraso (juros de mora etc). Se ocorrer a cobrança poderá ser discutida na justiça através de ação revisional. 5. Capitalização de juros (juros sobre juros) A Justiça entende que pode haver a capitalização mensal de juros (cobrança de juros sobre juros), desde que seja devidamente assinada a autorização pelo autor. Não havendo a assinatura a capitalização só pode ocorrer de forma anual. Portanto, se o consumidor constatar a cobrança de capitalização de juros mensal sem ter autorizado, pode exigir a revisão do contrato para que a capitalização seja anual. Há ainda, casos em que as instituições financeiras aplicam capitalização diária de juros, o que tem sido considerado abusivo pela Justiça, que tem determinado o afastamento desta cobrança. Ementa: NEGÓCIOS JURÍDICOS BANCÁRIOS. EMBARGOS À EXECUÇÃO. CÉDULA DE CRÉDITO BANCÁRIO - CAPITAL DE GIRO. Dos juros remuneratórios. Os juros remuneratórios cobrados por instituições financeiras devem obedecer às estipulações do Conselho Monetário Nacional, por força do enunciado nº 596 da Súmula do STF. Consoante orientação emanada pelo Superior Tribunal de Justiça, nos moldes do art. 543-C do Código de Processo Civil (REsp. N. 1.061.530/RS), a caracterização da abusividade do contrato com relação aos juros remuneratórios depende da comprovação cabal de que estão sendo cobradas taxas que excedam significativamente a média de mercado. Incumbe ao devedor provar que o percentual pactuado discrepa da praxis do mercado. Caso em que não restou caracterizada a abusividade. Da capitalização diária de juros. Desde que pactuada, é possível a capitalização mensal de juros em contratos bancários celebrados após o advento da Medida Provisória nº 1.963-17/2000, de 31.03.2000. No caso dos autos, contudo, prevendo o contrato capitalização, na periodicidade diária, impõe-se o seu afastamento. Nesse caso, caberia a cobrança da capitalização anual de juros; todavia, diante da ausência de recurso da parte autora a esse respeito, resta mantida a sentença de origem, que admitiu a possibilidade de cobrança de capitalização mensal dos juros, a fim de evitar reformatio in pejus. Do percentual dos juros de mora. A matéria foi objeto da Súmula n. 379 do STJ, que dispõe: ""nos contratos bancários não regidos por legislação específica, os juros moratórios poderão ser fixados em até 1% ao mês"". Da descaracterização da mora. No caso dos autos, restou configurada abusividade no que pertine à capitalização diária, de modo que os encargos de mora somente deverão incidir em caso de inadimplência posterior à apuração do saldo devedor, após o recálculo da dívida, nos termos estabelecidos na sentença de origem. Do IOF. Possível a contratação o pagamento do Imposto sobre Operações Financeiras e de Crédito (IOF) por meio de financiamento acessório ao mútuo principal. Da TAC. Permitida a cobrança da Taxa de Abertura de Crédito (TAC), desde que delimitada a apenas uma vez, a título de contratação. Caso em que o embargante não demonstrou a incidência da TAC a titulo de renovação/ manutenção de cadastro. Das demais tarifas. De regra, é dado às instituições financeiras estipularem - dentro dos limites estabelecidos pelo Banco Central - a cobrança de taxas e tarifas bancárias de seus clientes, como contraprestação pelos serviços que prestam. Não demonstrada a cobrança abusiva de tarifas bancárias. Compensação/ repetição do indébito. É cabível a repetição simples dos valores que tenham sido indevidamente cobrados, independentemente da prova de erro ou de má-fé por parte do Banco. Outrossim, a compensação decorre da Lei, conforme disposto nos arts. 368 e 369 do Código Civil. Redimensionamento dos ônus sucumbência PARTE EMBARGADA, NEGANDO-O AO DA PARTE EMBARGANTE. UNÂNIME. (Apelação Cível Nº 70063213680, Décima Sexta Câmara Cível, Tribunal de Justiça do RS, Relator: Paulo Sérgio Scarparo, Julgado em 16/04/2015) A ação revisional pode versar sobre contratos de cartão de crédito, financiamentos, cheque especial, CDC, empréstimos, leasing, alienação fiduciária, dentre outros que contenham taxas de juros e outras cláusulas consideradas abusivas. Outra medida importante que deve ser tomada pelos advogados neste tipo de ação é o pedido feito à Justiça para o depósito dos valores que entendem devidos à luz da legislação, doutrina e jurisprudência, bem como o pedido de ""antecipação de tutela"" para impedir que a Instituição Financeira inscreva o nome do consumidor em órgãos como SPC, SERASA, BACEN etc, enquanto o processo estiver sendo discutido e os depósitos feitos, pois a própria dívida está em discussão. Portanto, é muito importante que o consumidor tenha bem claro o fato de que ao entrar com o processo judicial tem a obrigação de depositar em juízo os valores que entende devidos (recalculados). E uma das dicas mais importantes é: no curso da ação revisional, frequentemente entrar em contato com a instituição financeira para verificar se não há possibilidade de um acordo com um bom desconto para quitação à vista ou reparcelamento mais vantajoso (com redução das taxas de juros cobradas no contrato), desde que as parcelas caibam com folga no seu orçamento! A ação revisional, preferencialmente, deve ser feita por advogado.";0.49476993
O TRIBUNAL DE JUSTIÇA DO ESTADO DE MINAS GERAIS - TJ/MG reconheceu a abusividade de juros aplicados em um contrato de financiamento bancário. Ficou entendido pelo o colegiado que no caso, os juros aplicados pela financeira ultrapassaram os limites estabelecidos pelo Banco Central, a taxa de juros aplicada estava bem superior a taxa média de juros que deveria ter sido aplicada ao contrato. No referido contrato foi aplicado juros uma vez e meia da média de mercado indicada pelo Banco Central. Ficou assim evidenciado no processo que os juros remuneratórios aplicadas no contrato atingiram o elevado patamar de 2,95% ao mês e 35% ao ano. De acordo com a tabela de juros divulgada pelo Banco Central do Brasil, as taxas de juros tinham como média o valor de 1,32% ao mês e 17,89% ao ano. Na origem, o juízo de primeiro grau julgou procedente os pedidos para reconhecer a abusividades praticadas pelo banco réu.;0.4942044
"Com imensa satisfação que torno público, em especial aos meus clientes que, após concluir o curso Expert em Direito Bancário, que estou atuando em todo tipo de contrato bancário, são eles: Financiamento de veículos; Empréstimo consignado; Empréstimo pessoal; Revisão de cartão de crédito; Cartão de crédito consignado; Financiamento imobiliário; O trabalho visa, através de parecer técnico, utilizando de fonte sobre taxas de juros fixadas pelo Banco Central, a legislação vigente, buscamos reduzir a taxa de juros dos seus contratos, assim como, buscar a indenização por danos morais, repetição do indébito (cobrança indevida). Tudo através de um trabalho especializado. Havendo dúvidas, entrar em contato pelo telefone 63-992425628 ou advmiltonfelix@gmail.com. Milton Antonio Felix do Nascimento Advogado - OAB-TO 5137";0.4872461
Informações relacionadas Quando o locador pode rescindir o contrato de locação? ArtigosData de publicação: 04/07/2016Luis Felipe Boechat Borges Luquetti dos Santos Diversas vezes, atuando na advocacia imobiliária, esta pergunta é feita: Afinal de contas, pode o locador rescindir o contrato de locação? Se sim, em qual oportunidade? É evidente que a locação pode Rescisão Contratual e Multas: Entendendo os Limites Legais para Diferentes Tipos de Contratos ArtigosData de publicação: 08/08/202399Contratos Quando se trata da formalização de contratos, independentemente de sua natureza - seja aluguel, compra e venda ou prestação de serviços - é uma situação comum deparar-se com cláusulas de multas;0.48418564
