arquivo,documento_id,n_tokens,n_entidades,qtde_NOUN,qtde_VERB,qtde_ADJ,qtde_PROPN,qtde_PER,qtde_ORG,qtde_LOC,qtde_nsubj,qtde_obj,qtde_amod,qtde_advmod
noticias_4-procedimentos-para-o-encerramento-do-contrato-de-locacao_846702826.txt,1,170,12,57,14,11,10,2,1,1,4,7,7,2
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,385,38,69,40,20,52,6,8,5,13,17,10,14
noticias_a-assinatura-de-testemunhas-e-mesmo-necessaria-em-um-contrato_1946553817.txt,3,294,20,59,17,17,51,5,4,6,9,6,13,6
noticias_a-clausula-moral-nos-contratos_493765163.txt,4,353,18,73,43,19,32,5,1,1,24,16,18,12
noticias_a-extincao-do-contrato_351085497.txt,5,895,57,223,74,47,95,10,4,12,32,28,44,28
noticias_a-importancia-do-advogado-na-realizacao-de-contratos_737403441.txt,6,141,3,34,16,10,4,0,0,0,4,8,7,7
noticias_a-importancia-do-contrato-na-prestacao-de-servicos_1191257260.txt,7,245,13,53,23,8,22,4,1,2,9,12,10,13
noticias_a-importancia-do-contrato-social-bem-estruturado-para-o-sucesso-do-seu-negocio_1348064047.txt,8,692,4,173,90,57,4,0,0,1,36,47,48,29
noticias_a-liberdade-de-escolha-da-lei-em-contratos-internacionais_449437411.txt,9,1045,29,243,115,79,35,9,1,4,47,50,69,45
noticias_a-morte-do-contrato-de-casamento_100699472.txt,10,1222,24,288,115,100,38,3,3,7,76,53,84,71
noticias_a-morte-do-contrato-de-casamento_123883631.txt,11,1228,22,289,115,99,38,3,3,7,76,54,85,71
noticias_a-pandemia-do-coronavirus-e-o-reflexo-nos-contratos-civis-e-empresariais_823317308.txt,12,688,16,151,87,52,27,3,0,4,25,37,43,18
noticias_a-posse-ius-possidendi-e-o-contrato-de-locacao_917951687.txt,13,201,4,53,18,12,6,0,0,0,8,11,13,6
noticias_a-rescisao-do-contrato-de-representacao-comercial-quando-a-indenizacao-e-devida_874019272.txt,14,669,73,122,35,44,144,11,9,23,21,11,43,7
noticias_a-suspensao-do-contrato-de-trabalho-afeta-o-valor-do-13-salario_940199133.txt,15,224,3,51,25,12,3,0,0,0,12,12,7,11
noticias_abusividade-de-taxas-de-juros-aplicadas-por-banco-em-contrato-de-financiamento_2169537220.txt,16,200,8,51,24,9,18,0,1,4,10,8,5,4
noticias_abusos-na-rescisao-do-contrato_231636930.txt,17,749,21,187,75,30,32,2,5,6,40,36,19,25
noticias_acao-de-reintegracao-de-posse-em-contrato-de_392127626.txt,18,124,4,41,8,6,5,1,0,0,6,4,4,4
noticias_acao-por-descumprimento-de-contrato-de-seguro-prescreve-em-um-ano_1335561834.txt,19,783,26,181,57,59,71,7,6,4,31,28,50,14
noticias_acao-revisional-de-contrato_213513673.txt,20,2107,94,527,181,120,155,8,24,20,59,63,100,68
noticias_acordo-extrajudicial-para-rescisao-do-contrato-de-trabalho_872384791.txt,21,1019,65,218,84,73,118,12,10,10,25,35,65,36
noticias_adiada-a-entrada-em-vigor-na-nova-lei-de-licitacoes-e-contratos-administrativos_1802166060.txt,22,272,21,51,20,13,46,0,2,8,9,6,14,4
noticias_advocacia-digital-e-fechamento-de-contratos-online_705056477.txt,23,206,13,48,17,12,27,2,1,0,7,8,13,4
noticias_advogado-faz-contrato-de-ficante-com-clausula-que-proibe-traicao_1991457386.txt,24,457,9,113,54,31,12,0,1,2,27,26,25,21
noticias_advogados-esclarecem-duvidas-sobre-o-contrato-intermitente-de-trabalho_1576778012.txt,25,863,21,216,73,60,38,6,3,3,42,28,49,30
noticias_afastada-terceirizacao-em-contrato-de-transporte-de-mercadoria_1183564338.txt,26,230,6,62,26,12,8,0,2,1,13,11,10,8
noticias_alguns-criterios-para-aditar-o-contrato-de-locacao_2085646558.txt,27,305,19,76,11,53,24,5,1,1,8,4,9,6
noticias_alteracao-de-proprietario-no-contrato-de-locacao_1725704939.txt,28,331,27,68,15,62,40,6,3,2,6,5,15,9
noticias_alteracoes-no-contrato-de-comissao_1989560109.txt,29,755,16,171,75,37,44,0,2,0,36,26,27,21
noticias_aluguel-principais-duvidas-sobre-a-resolucao-do-contrato-locaticio_818091975.txt,30,114,3,28,11,3,14,1,0,0,4,4,2,3
noticias_ampliacao-dos-contratos-de-trabalho-pela-mp-936-20_916487348.txt,31,222,17,46,18,8,41,1,2,6,7,5,10,13
noticias_ao-emprestar-um-imovel-e-necessario-um-contrato_655896582.txt,32,260,11,62,28,11,15,2,0,5,14,17,10,6
noticias_aprovada-prorrogacao-de-contratos-temporarios-no-iphan_722787586.txt,33,315,22,70,28,18,38,2,4,5,16,10,17,6
noticias_arbitragem-da-lei9307-96-cabivel-em-todos-os-contratos-trabalhistas_1586621599.txt,34,656,19,153,41,50,42,4,6,0,25,17,43,25
noticias_arbitragem-em-contratos-de-previdencia-privada_830984476.txt,35,898,28,198,86,91,35,3,11,8,44,44,73,38
