Texto Original;classe
❗ATENÇÃO❗ Documento apto para o locador ou locatário comunicar sua intenção de reaver o imóvel ou desocupá-lo, respectivamente. A comunicação desta vontade é chamada de “denúncia” do contrato, a Notificação de 30 dias para rescisão do contrato de locação ArtigosData de publicação: 15/01/2016Cristina Nascimento A lei do inquilinato prevê que tendo vencido o prazo do contrato de locação, tanto o locador como o locatário pode pedir a rescisão. Porém, a lei impõe ao interessado, obrigação de notificar a outra Modelo de notificação extrajudicial para rescisão contrato prestação de serviços ModelosData de publicação: 31/01/2022Rodrigo Saggioro NOTIFICAÇÃO Ref.: “Contrato de prestação de serviço”, datado e assinado em ___/___/_____. NOTIFICADO Endereço: Endereço completo Razão social , pessoa jurídica de direito privado, inscrita no CNPJ;prestacao_servico
"Há alguns dias revisei um Contrato de Parceria Pecuária que está chegando ao fim, ""chutem"" qual estava sendo o ponto de divergência entre os Parceiros? As @rrobas estipuladas, ou melhor, mal estipuladas em contrato. É claro que não nos cabe colocar preço nos produtos dos nossos clientes, QUE FIQUE BEM CLARO, contudo, para que a redação dos Contratos seja eficaz do início ao fim da relação, sem dar margens a interpretações diferentes, SIM, precisamos saber não apenas quanto vale a @rroba do boi, mas compreender as cotações, as diferenças entre as cotações do boi gordo, da vaca, do novilho, acompanhar as tendências de altas e baixas, e assim por diante... Entendi Andréia, mas afinal de contas, quanto vale a @arroba? 1 @arroba equivale, EXATAMENTE, a 14,7 Kg. (aceitem sem contestar, caso contrário teremos que fazer uma retrospectiva ao império romana para justiçar esse valor), CONTUDO, NA PRÁTICA arredondamos para 15 Kg, OU SEJA: 1@ = 15 Kg Então para saber quantas @rrobas tem um boi é só multiplicar o peso dele por 15? Não! No meio desse cálculo precisamos saber qual o percentual de RENDIMENTO DE CARCAÇA*, pois o animal não é aproveitado 100%. *CARCAÇA = animal abatido sem cabeça, rabo, mocotó, patas, chifres, vísceras, couro... POR EXEMPLO: Peso boi vivo 300 kg Peso carcaça 150 Kg Compreenderam? Andréia, preciso MESSSMO saber de tudo isso para elaborar um contrato? Senhores, se quiserem elaborar um CONTRATO DE EXCELÊNCIA, SIM, PRECISAM! Não existe serviço de excelência com conhecimento superficial. Consegui ajudá-los? Andréia Ribeiro. Outras redes sociais: Canal do YOUTUBE: Adv. Andréia Ribeiro; INSTAGRAM: @DireitoEmMovimento.AR; FACEBOOK: Direito Em Movimento; LINKEDIN: Andréia Ribeiro; SITE www.DireitoEmMovimento.com >E-BOOKS GRÁTIS < E, é claro, aqui no JUSBRASIL: Andréia Ribeiro +Conhecimento-Aborrecimento!";nao_classificado
Informações relacionadas Tribunal de Justiça de Minas Gerais TJ-MG - Apelação Cível: AC XXXXX-13.2019.8.13.0024 MG JurisprudênciaAcórdãoData de publicação: 04/02/2021Tribunal de Justiça de Minas Gerais EMENTA: APELAÇÃO CÍVEL - EXECUÇÃO - CONTRATO PARTICULAR DESPROVIDO DA ASSINATURA DE DUAS TESTEMUNHAS - DOCUMENTO INÁBIL PARA EMBASAR A EXECUÇÃO - EXTINÇÃO. A ausência de assinatura das duas testemunhas no contrato particular impede que o documento seja considerado título executivo extrajudicial, por se tratar de requisito formal, conforme disposto no art. 784, III, do CPC. Por que o contrato escrito e a assinatura de testemunhas são importantes? ArtigosData de publicação: 08/11/202499Contratos Um contrato é mais do que um simples papel: ele representa o acordo de vontades entre duas ou mais partes e define obrigações e direitos que impactam na vida das pessoas ou empresas envolvidas. Esse Tribunal Regional do Trabalho da 6ª Região TRT-6 - Agravo de Petição: AP XXXXX-78.2019.5.06.0005 JurisprudênciaAcórdãoData de publicação: 22/11/2021Tribunal Regional do Trabalho da 6ª Região AGRAVO DE PETIÇÃO. INADIMPLÊNCIA DO EXECUTADO PESSOA FÍSICA (EMPREGADOR DOMÉSTICO). INSTAURAÇÃO DO INCIDENTE DE DESCONSIDERAÇÃO INVERSA DA PERSONALIDADE JURÍDICA. POSSIBILIDADE. O artigo 28, do CDC, traz como pressuposto para a desconsideração da personalidade jurídica tão somente a caracterização da insolvência ou o descumprimento de obrigação, decorrente de transação ou de decisão judicial. Dessa forma, o desvio da execução faz-se necessário e respeita não só o preceito legal antes citado, mas também o que estabelecem os artigos 133 a 137, do CPC, aplicados ao processo do trabalho, no particular, por força do artigo 855-A, da CLT. Na hipótese, a mora do devedor, caracterizada pelo …;clausulas_gerais
"Por José Roberto Trautwein. A cláusula moral é a que permite ao contratante rescindir contrato firmado com pessoa pública que tenha praticado ato que venha a macular sua imagem. Um dos casos recentes é o do atleta norte-americano Ryan Lotche, que teve contratos publicitários rescindidos após incidente ocorrido durante as Olimpíadas do Rio de Janeiro em 2016. O site globo.com noticiou que um de seus patrocinadores ainda decidiu doar aproximadamente cinquenta mil dólares americanos para organização que atua na proteção de crianças no Brasil. Também foi transcrito o relato do comentarista Darren Rovell, da ESPN americana, que estimou que o nadador teve perdas de um milhão de dólares americanos. Contudo, indaga-se se aludida cláusula pode ser firmada em contratos realizados no direito brasileiro. As Professoras ANA PAULA PARRA LEITE e ZILDA MARA CONSALTER sustentam a possibilidade da inserção da cláusula moral nos contratos; porém, ressaltam a necessidade de serem estabelecidos os atos que poderiam acarretar sua incidência, bem como as consequências da infração, a fim de se evitar divergências, ante a existência de discussões sobre o que caracteriza ofensa à moral. Pontuam, ainda, pela incidência da cláusula moral nos contratos mesmo nas hipóteses em que ela não tenha sido expressamente pactuada, já que “o que mantém os contratos nos seus estritos termos é a existência de um equilíbrio entre prestação e contraprestação”. A questão ainda deve ser analisada sob o enfoque da boa-fé objetiva (art. 422 do CC), que contempla um dever de colaboração e de cooperação para que o outro tenha seu interesse atingido no contrato. Ao Poder Judiciário, portanto, incumbirá efetuar a análise do caso concreto para determinar se teria ou não ocorrido a violação da cláusula moral e da boa-fé objetiva. Fonte: Artigo publicado na Edição 37 do Boletim Impresso do Escritório do Professor Renê Dotti.";nao_classificado
"Diante da falta de cumprimento da obrigações avençadas em um contrato entre as partes, se faz importante salientar que no direito civil é plenamente possível a denunciação do contrato no caso em em que não existe previsão de ""encerramento do contrato"", vejamos: Código Civil Brasileiro Art. 474. A cláusula resolutiva expressa opera de pleno direito; a tácita depende de interpelação judicial. Art. 475. A parte lesada pelo inadimplemento pode pedir a resolução do contrato, se não preferir exigir-lhe o cumprimento, cabendo, em qualquer dos casos, indenização por perdas e danos. Conforme dispõe o Código Civil, no caso de não existir a cláusula de resolução no contrato, pode a parte lesada pedir por meio de seu advogado a extinção do mesmo inclusive pleiteando indenização por perdas e danos. A doutrina e a Jurisprudência trilham o mesmo caminho, assim menciona-se decisão neste sentido do Egrégio Tribunal de Justiça do Estado de São Paulo: RESCISÃO CONTRATUAL - Permuta de imóveis (gleba de terras x 50% de imóvel situado em São José dos Campos) -Descumprimento pelo réu das cláusulas contratuais - Desfazimento do negócio -Medida que se impõe - Sentença de procedência - Rescisão do contrato, reintegração da posse e incidência de multa contratual - Insurgência do réu - Inviabilidade - Rejeição das preliminares de carência de ação (vigência de cláusula resolutiva tácita), de nulidade da r. Sentença por julgamento antecipado da lide e de julgamento extra-petita- Omissão do réu comprovada no cumprimento de sua obrigação - Má-fé caracterizada -Ressarcimento apenas das benfeitorias necessárias realizadas no imóvel - Direito de retenção inexistente - Sentença mantida -Recurso desprovido. (TJ-SP - APL: 1054973320058260000 SP 0105497-33.2005.8.26.0000, Relator: J. L. Mônaco da Silva, Data de Julgamento: 16/02/2011, 5ª Câmara de Direito Privado, Data de Publicação: 01/03/2011) (grifos nossos) No mesmo sentido cita-se entendimento do Superior tribunal de justiça: DIREITO CIVIL. COMPROMISSO DE COMPRA E VENDA. MORA DO PROMITENTE VENDEDOR. INAPLICABILIDADE DO ART. 1º DO DECRETO-LEI 745/69. INTERPRETAÇÃO EXTENSIVA. IMPOSSIBILIDADE. CLÁUSULA RESOLUTIVA TÁCITA. CONTRATOS BILATERAIS. PRESENÇA. CÓDIGO CIVIL, ARTS. 1.092, PARÁGRAFO ÚNICO, E 119, PARÁGRAFO ÚNICO. EXIGÊNCIA DE INTERPELAÇÃO PRÉVIA. CARACTERIZAÇÃO DA MORA. NÃO CONFIGURAÇÃO DE PRAZO CERTO. MORA EX PERSONA. CASO CONCRETO. RECURSO DESACOLHIDO. I - Não se aplica o art. 1º do DL 745/69 aos contratos de compromisso de compra e venda, quando a pretensão diz respeito à caracterização da mora do promitente vendedor, e não, do promissário comprador. Diante da expressa dicção legal, sequer há espaço para a interpretação extensiva. II - A cláusula resolutiva tácita pressupõe-se presente em todos os contratos bilaterais, independentemente de estar expressa, o que significa que qualquer das partes pode requerer a resolução do contrato diante do inadimplemento da outra. III - A resolução do contrato, pela via prevista no art. 1.092, parágrafo único, CC, depende de prévia interpelação judicial do devedor, nos termos do art. 119, parágrafo único, do mesmo diploma, a fim de convocá-lo ao cumprimento da obrigação. IV - Uma vez constatada a inexistência de prazo certo para o cumprimento da obrigação, a configuração da mora não prescinde da prévia interpelação do devedor. V - A citação inicial somente se presta a constituir mora nos casos em que a ação não se funda na mora do réu, hipótese em que esta deve preceder ao ajuizamento (STJ - REsp: 159661 MS 1997/0091869-6, Relator: Ministro SÁLVIO DE FIGUEIREDO TEIXEIRA, Data de Julgamento: 09/11/1999, T4 - QUARTA TURMA, Data de Publicação: DJ 14.02.2000 p. 35 RSTJ vol. 132 p. 413) (grifos nossos) Da mesma forma determina o Código de Defesa do Consumidor em seu art. 35, se o fornecedor não cumprir com o estipulado contratualmente pode o consumidor, a seu critério optar por rescindir o contrato com direito a restituição de quantia eventualmente antecipada, monetariamente atualizada e a indenização por perdas e danos. Vejamos: Art. 35. Se o fornecedor de produtos ou serviços recusar cumprimento à oferta, apresentação ou publicidade, o consumidor poderá, alternativamente e à sua livre escolha: I - exigir o cumprimento forçado da obrigação, nos termos da oferta, apresentação ou publicidade; II - aceitar outro produto ou prestação de serviço equivalente; III - rescindir o contrato, com direito à restituição de quantia eventualmente antecipada, monetariamente atualizada, e a perdas e danos. Tanto na relação consumerista quanto na relação contratual e tendo em vista todo o desgaste causado pela situação de não ver um contrato cumprido em todas as suas obrigações, caso não exista a cláusula de extinção em um contrato entre as partes é cabível a extinção do contrato concedida pelo Judiciário. Artigo de origem do site de advocacia Apolinário & Guimarães Advogados.";prestacao_servico
"No momento de realizar um contrato, muitas pessoas usam contratos ""prontos"", aqueles de papelaria ou baixados na internet. Quando é realizado um contrato que não está adequado ao caso, fora da natureza jurídica específica, sem garantias financeiras, e sem observâncias legais, há um grande risco para esse negócio praticado, ocasionando futuros problemas. Diversos contratos de aluguéis, compra e venda e promessa de compra, são realizados sem nenhum acompanhamento por um advogado, gerando não só risco econômico, mas ao imóvel negociado. Sempre que for realizar um contrato, principalmente aqueles que envolvem bens, tenha um advogado lhe assessorando.";compra_venda
"⚡Olá, passando pra agradecer a participação de vocês na live com @jeanemagalha onde falamos sobre ""os prejuízos jurídicos por causa da desorganização"" e sobre ""a importância do contrato formal na prestação de serviço"" 🚀 💬 Entendeu a importância de fazer um contrato formal de prestação de serviço? E como ele evita que você ""sofra"" prejuízos jurídicos e financeiros? Espero que sim! 🤷🏻‍♀️ E aí, vai ficar sem contrato até quando? 👉🏼 Pensando em você elaborei um #e-book pra vocês, e vou disponibilizar o link de compra em primeira mão aqui! 😎 👇🏼 ⏱️ ATENÇÃO: E-book disponível em: https://hotm.art /xiWGrgrp 👊🏼 Envie o link e/ou essa publicação pra quem você acha que precisa saber mais sobre ""A importância do contrato na prestação de serviço"" 🚀 ⚡Bônus: se você quer ficar por dentro de conteúdos exclusivos entre no grupo do #WhatsApp (link na biografia do Instagram), em breve trarei mais novidades aqui e no grupo: #ComboSupresa que será lançado em breve. Não perca!!!! #Lives #ConteudosExclusivos, etc. 👉🏼 Compartilhe: E-book disponível aqui 👇🏼 https://hotm.art /xiWGrgrp";prestacao_servico
Normalmente, a maioria dos negócios nasce de uma ideia muito antes da sua constituição formal como sociedade. Se levarmos em consideração que toda empresa existe para que seu fundador ou sócios obtenha lucro, é relevante que os empreendedores estejam cercados de instrumentos jurídicos capazes de minimizar a exposição a riscos de perda. Sob este prisma, como compreender e dar um tratamento diferenciado e que prestigie as especificidades e características da empresa a ser criada? Como valorar seu ativo econômico ou os bens tangíveis e intangíveis? A seguir, sucintamente vamos destacar a importância de ter um contrato social bem formulado para o sucesso da sua empresa. Cumpra as regras mínimas Inicialmente, num contrato social bem estruturado as partes podem negociar como sua empresa atuará, desde que cumpram as regras mínimas. Nesse sentido, é no contrato social que os sócios irão declarar as condições básicas da empresa e indicar quem são seus integrantes, informando os nomes, domicílios, capital social, quotas de cada sócio, objeto social, forma de administração, prazo de existência e processo de liquidação. Veja, se no mundo corporativo o contrato é o principal instrumento para se fechar uma parceria ou um negócio, ter as regras do jogo bem definidas no contrato social poderá evitar que contratempos ou dissabores atrapalhem o bom andamento da vida da empresa. Subscreva ou integralize o capital social Ao se elaborar o ato constitutivo da sociedade, que poderá ser feito por meio de um instrumento público ou particular, é preciso informar qual o valor que o sócio efetivamente transferiu do seu patrimônio pessoal para a pessoa jurídica ou, com qual valor ele se compromete a investir. Isso é o que os advogados chamam de subscrever e integralizar o capital social. A não integralização do capital social no tempo previsto no contrato social traz sérias consequências não somente para o sócio faltoso, mas também para os demais, pois, dependendo do tipo societário, todos respondem solidariamente pelo valor total informado. Defina a participação nos lucros, mas não as perdas Sendo o lucro a essência de qualquer sociedade, a participação nas perdas merece atenção especial, pois em regra ela só ocorre quando os sócios têm responsabilidade ilimitada. Desta forma, se a responsabilidade dos sócios for limitada, os sócios não respondem pelas dívidas da sociedade, e por isso o contrato social deve regular a participação nos lucros sem mencionar a participação nas perdas, sob pena de haver uma interpretação em sentido diverso, ou seja, como uma renúncia à responsabilidade limitada, tornando-a ilimitada. Outra questão importante é a que trata da remuneração dos sócios, pois a melhor opção dependerá das características do seu negócio e da realidade da sua empresa. O importante é pautar a escolha em análises fáticas e comparativas para não colocar em risco a saúde financeira da sua empresa. Desta forma, se faz importante analisar o número de sócios do negócio, saber quantos atuam diretamente no dia a dia da empresa e qual é a margem de lucro da sociedade, por exemplo. Bem, percebe-se que é de extrema importância o apoio jurídico nesse processo de constituição da empresa, sendo o advogado contratualista essencial para orientar os sócios na criação da sociedade a fim de se obter a maior segurança jurídica possível para alavancar o negócio, evitando-se dissabores não previstos. Também é relevante destacar a existência de outros instrumentos eficientes para alinhar expectativas e prevenir desentendimentos futuros que possam vir a comprometer o sucesso da sociedade, como o memorando de entendimentos, sobre o qual falaremos em breve. Quer saber mais sobre como o advogado contratualista pode te ajudar? Você pode entrar em contato comigo por meio do e-mail cintiaclementino@gmail.com;contrato_social_empresarial
"Cada dia mais presente e indispensável nas relações humanas, o Direito Internacional é um campo complexo. Por isso, muitas são as dúvidas daqueles que se propõem ao desafio de estudar a matéria. Neste artigo trataremos de uma delas: existe a possibilidade de escolher a lei aplicável ao contrato internacional, de acordo com a lei brasileira? Para responder à pergunta, primeiro é preciso destacar que a lei de introdução às normas do Direito Brasileiro (LINDB) e o CPC guardam as principais regras do tratamento brasileiro, nos casos em que se verifica a natureza internacional de um contrato. De acordo com as normas mencionadas, ainda não é possível eleger de forma direta a lei aplicável ao contrato internacional. A escolha direta da lei aplicável ocorre quando as partes indicam de forma expressa no contrato a lei à qual o contrato deve se submeter. Esta forma é um avanço, especialmente para transações empresariais, já que possibilita a escolha das partes para a melhor norma, de acordo com cada negociação. No Brasil há apenas uma via em que esta hipótese é permitida. Através do instituto da Arbitragem, é possível, com respaldo legal, eleger diretamente a lei aplicável para o contrato. A cláusula arbitral e a convenção de arbitragem garantem que, sendo a convenção válida, esta permanecerá válida e não poderá ser substituída. A principal disposição da lei de arbitragem que carrega a “luz no fim do túnel” ao Brasil é o artigo 2º, parágrafo primeiro, que dispõe: “Poderão as partes escolher, livremente, as regras de direito que serão aplicadas na arbitragem, desde que não haja violação aos bons costumes e à ordem pública”. Atenção à especificidade do contrato de adesão do art. 3º, parágrafo segundo que replica: “Nos contratos de adesão, a cláusula compromissória só terá eficácia se o aderente tomar a iniciativa de instituir a arbitragem ou concordar, expressamente, com a sua instituição, desde que por escrito em documento anexo ou em negrito, com a assinatura ou visto especialmente para essa cláusula”. Apesar de a arbitragem acompanhar movimentos internacionais como o UNIDROIT e a Convenção do México ao permitir a escolha da lei aplicável, o Brasil ainda não permite, em vias judiciais, tal eleição de forma direta. Isto porque as normas da LINDB citadas no início deste artigo determinam qual será o direito aplicável para cada tipo de demanda pluriconectada; as chamadas “regras de conexão”. Adicionalmente, estas normas possuem natureza cogente, ou seja, não podem ser afastadas pelas partes em sua autonomia da vontade. Entretanto, há situações em que a LINDB deixa abertura para a escolha da lei aplicável de forma indireta: aloca-se a condição estipulada pela LINDB e pelo CPC, de forma a direcionar tal condição para a lei que as partes desejam. Um exemplo é a regra do lex loci celebrationis (artigo 9º LINDB)¹, a qual prevê que a lei aplicável será a mesma do local de assinatura do contrato. Assim, para eleger indiretamente a lei desejável para seu contrato, basta assiná-lo no mesmo local em que se aplica tal legislação. Há outras maneiras de direcionar sua demanda para a lei desejada, como a eleição do foro, hoje expressamente autorizada pelo artigo 25º do “novo” CPC. Importante ressaltar que esta opção somente é possível para os casos de Demanda Concorrente². A eleição do foro permite que as partes escolham onde a demanda será julgada, ou seja, permite a escolha da jurisdição. Neste caso, então, as partes deverão conferir se a jurisdição escolhida realmente aplicará a lei de sua preferência. Com a autorização expressa do mencionado artigo, pacificou-se a jurisprudência anteriormente indecisa com relação ao assunto, e assim permitiu maior segurança jurídica para aqueles que utilizam este instituto. Há que se atentar, entretanto, que apesar de o juiz brasileiro dever respeitar a previsão do artigo 25º do CPC, há algumas exceções. O juiz pode, de ofício ou a requerimento, declinar o referido artigo, se julgar estar diante de relação de hipossuficiência entre as partes, conforme previsão do artigo 63º do CPC. Especialmente nos casos de contrato de adesão e de relação de consumo, a eleição do foro poderá ser questionada. Após a exposição do tema, clara é a conclusão de que apesar de existirem possibilidades de se eleger indiretamente a lei aplicável a uma demanda internacional, estas vias não apresentam grande segurança jurídica, pois o direito brasileiro não prevê de forma expressa tal possibilidade (como já foi previsto nas normas anteriores à Introdução ao Código Civil de 1916). Os profissionais da área devem adequar a melhor opção de escolha dentro das peculiaridades do caso concreto e se atentarem a todas as possibilidades de desdobramentos da demanda. Aos empresários e indivíduos que porventura enfrentarem a matéria, aconselha-se sempre buscarem auxílio profissional especializado, devido à complexidade do tema. (Com informações de Migalhas) 1 Outros exemplos de pontos de conexão que podem ser observados para alocar a lei aplicável à lei desejável: lex loci solutionis - excução do contrato, lex patriae – lei da nacionalidade da pessoa física, lex domicilii – lei do domicílio da pessoa física, lex loci executionis – lei de execução forçada da obrigação (etc). 2 As hipóteses de competência concorrente da justiça brasileira estão traçadas no artigo 22 do Código de Processo Civil. O rol do referido artigo é exemplificativo, e intenciona demonstrar situações pelas quais a demanda poderá ser julgada concomitantemente com outra jurisdição. Clique aqui para ler a notícia em nosso site. Email: info@lawsial.com Site: www.lawsial.com";contratos_internacionais
"O casamento não mais se faz na entrada, na reiteração do propósito e no momento da celebração, mas, sim, é uma construção, uma caminhada. O jurista Luiz Edson Fachin, diretor Sul do IBDFAM e palestrante do IX Congresso Brasileiro de Direito de Família acredita que a estrutura rígida do contrato matrimonial não mais dá conta dos diferentes significados do casamento na atualidade. Ele debaterá o tema A morte do contrato de casamento no IX Congresso que será realizado entre os dias 20 e 22 de novembro em Araxá (MG). Em entrevista ao IBDFAM, o jurista afirma que a feição essencialmente patrimonialista do contrato está superada e que, hoje, o que se apresenta nas relações de comunhão de vida, é pacto existencial plurissubjetivo. Confira a entrevista. O que significa a morte do contrato de casamento? A concepção canônica do casamento que se verteu numa expressão do contrato clássico, apreendeu os significados da Modernidade, e se apresentou como o pacto de constituição da família matrimonializada. Era o contrato formal e perene. Isso se alterou radicalmente. O contrato moderno pereceu. Hoje, na contemporaneidade, dois fenômenos ao menos atestam esse óbito que é, ao mesmo tempo, novo renascimento: de um lado, a transsubjetivação (quem contrata não mais contrata somente com quem contrata), e de outro a transobjetivação (quem contrata não mais contrata apenas o que contrata). A relação entre autonomia privada e ordem pública, entre autorregulamento de interesses particulares e os princípios constitucionais, mudou de eixo. A feição essencialmente patrimonialista do contrato resumia o sentido dos pactos, inclusive na área das famílias. Isso está superado. O que, hoje, se apresenta, nas relações de comunhão de vida, é pacto existencial plurissubjetivo prioritariamente marcado por circunstancias completamente diversas, como o direito potestativo ao divórcio, ao desafios das individualidades plurimas, entre outro aspectos. O casamento não mais se faz na entrada, na reiteração do propósito e no momento da celebração, mas sim é uma construção, uma caminhada. O contrato do modelo ""pacta sunt servanda"" não dá conta desses semitons entre os laços existenciais e ""ratio"" das famílias contemporâneas. Por que o casamento como contrato não existe mais? A espacialidade e a temporalidade contemporâneas esboroaram o contrato clássico e demonstram que o conceito é incompatível com os pactos existenciais plurissubjetivos. A finitude dos arranjos famílias fez nascer, para muito além de mera liberdade de contratar, um significado renovado da responsabilidade e mesmo da liberdade. A liberdade deixa de ser meramente formal ou negativa, demandando uma prática de liberdade substancial, vale dizer, liberdade para o desenvolvimento pessoal, com limites próprios que inexistente nas relações contratuais. O contrato, pois, para dar conta dessas ressignificações do casamento, não mais serve. Quais transformações sociais possibilitaram a mudança da função e estrutura do contrato de casamento? Antes de tudo, é preciso dizer que a travessia da estrutura para a função alterou ontologicamente diversos institutos jurídicos de base, dentre eles o casamento. Essa transformação encontrou as demandas que se agasalham na tríade da Revolução Francesa, redesenhando as noções de igualdade, liberdade e fraternidade. Além disso, a emancipação dos sujeitos, a redescoberta dos corpos, especialmente nas questões de gênero e nos direitos sexuais, demandas democráticas e republicanas, projetaram a necessidade de responder não mais apenas à igualdade na diferença, mas sim a diferença dentro da própria diversidade. Assim, a estrutura rígida do laço matrimonial despiu-se do jugo da submissão e foi encontrando espaços de liberdade substancial e de solidariedade real. Ademais, a necessidade cedeu lugar à ambigüidade do desejo, nascendo, pois, o ""necejo"", que são as necessidades sedutoras do hiperconsumo e os selos das pulsões indomadas. Que tipo de instrumento jurídico poderia abranger as questões existenciais do casamento na contemporaneidade? Esse é um belíssimo problema que não raro encontra uma falsa solução. Supõe-se que o anquilosamento do contrato matrimonial dê, incontinenti, lugar a um novo instrumento jurídico. Ledo engano. O Direito como ordenamento positivado, nessa matéria, é o ""osso que corre atrás do cachorro"". Não basta novo significante. Cumpre abrir as portas para entender os novos significados. Somente a dialética, no campo das relações materiais da sociedade de classes, e a zetética, no terreno da juridicidade, poderão fazer emergir um desenho jurídico submetido à contraprova da realidade. Enfim, não há família justa -nos ensinou a escola sociológica de Frankfurt- numa sociedade injusta. Como a pluralidade das formas de família, a concepção da felicidade como um direito social contribuíram para tantas mudanças com relação ao casamento hoje em dia? O impacto foi e está sendo imenso. Inexiste aprioristicamente um conceito único de família; a realização pessoal se elevou a um direito fundamental. Todos esses novo arranjos representam conquistas e dilemas. Afinal, a liberdade de cada um ser, individual e coletivamente, o que é, também implica em dar resposta a essa liberdade, em ser responsável também. Ou seja: tem lugar a ética da responsabilidade e não da convicção, como suscitou Max Weber. Qual a importância de se garantir que os indivíduos possam expressar sua multiplicidade de projetos individuais de vida? Como o judiciário pode acompanhar a abarcar esses diferentes modelos que resultam em múltiplas possibilidades de casamento na atualidade? A garantia do respeito ao projeto de vida é um direito fundamental. Essa garantia efetivada corresponde a uma sociedade menos preconceituosa e menos excludente. Para operar essa inclusão tem o Poder Judiciario um papel de extraordinária relevância, quer abrindo as portas que a inércia do legislador fechou, quer agasalhando demandas de proteção contramajoritárias, nos limites do ordenamento jurídico. Nada obstante o juiz precisa vencer a Síndrome do Barão do Munchausen, vale dizer, superar a concepção insular do direito, vencer a imagem especular do juiz clássico que fotografava o mundo da vida através da vida das formas jurídicas Qual a importância de se discutir esse tema no IX Congresso Brasileiro de Direito de Família? Dissensões e consensos somente se desenvolvem legitimamente nos foros abertos e plurais de debates, próprios do Estado de Direito democrático. Numa sociedade em constante mutação e com vocação para realizar a igualdade, a liberdade e a fraternidade, ainda que com alguns séculos em mora, o evento do Ibdfam se alça nesse patamar de oblação de questões e possíveis respostas para os desafios da vida em família. Afinal, como se sabe desde Esopo: ""Ninguém é tão grande que não possa aprender, nem tão pequeno que não possa ensinar.""";contrato_social_empresarial
